Galatac	English / French	Part of Speech	Source	Notes (original parenthesis data)
canemi	to hang on	verb	derivation / compound	 can + nemi, “with-hanging”
canemiat	hanger-on			
caneman	hanging-on			
esrani	to encompass	verb	derivation / compound	es + rani, "without-parting", i.e. all including, cf. Gr. excarto-, id.
esranan	encompassment			
esraniat	encompasser			
urwentaiac	unlikeable		derivation / compound	ur + mentai + -ac, "against-feeling-like", cf. Gr. antipathikos, id.
canwentaiac	likeable		derivation / compound	can + mentai + -ac, “with-feeling-like”, cf. Gr. sympathikos, id.
lergali	to mark	verb		
lergaliat	marker			
lergalan	marking	noun		noun
sterwi	to tame	verb		“to firm”
sterwiat	tamer			one who tames
sterwian	taming	noun		noun
milsterwi	to tame animals	verb	derivation / compound	mil + sterwi, “animal- firming: 
milsterwiat	animal tamer			
milsterwian	animal taming			
dususterwi	to exorcise	verb	derivation / compound	dusu + sterwi, "demon-tame"
dususterwian	exorcism			
dususterwiat	exorcist			
epsterwiat	horse tamer			
bosterwiat	cattle tamer			
cunsterwiat	dog tamer			
dalcanal	nightingale		derivation / compound	dal + can + -al, "blind-sing-derivative suffix for birds", < Fr, rossignol < Vulg Lat. lusciniolus < masculine diminutive of L. luscinia < luscus + cano, "one-eyed singer"
daucatiat	flame thrower			
didert	monster		derivation / compound	di- + dert, "no-skin"; cf. W. anghen "monster, skinless"
didertac	monstrous			
didertacas	monstrosity			
rentar	diarrhea		derivation / compound	ren + tar, "flow-through"; cf. Gr. diarhrein, id.
gutac	vocal	adjective	derivation / compound	adjective; gut + -ac, "voice-like"
e-esi rentar gutac	he has vocal diarrhea	phrase		i.e. he talks a lot/too much
swausgwidait	phonology			
swausgwid	phonologist			
lavaral	banter		derivation / compound	lavar + -al, “small talk”
lavarali	to banter	verb		
lavaraliat	banterer			
esovoni	to dare	verb		esovon “fearless” > to be fearless
esovonan	dare	noun		noun
esovoniat	darer			
andovolg	gut		derivation / compound	ando + bolg, "inside-belly"
bolgucoil	intestine		derivation / compound	bolg + u + coil, "belly-narrow", epenthetic /u/ for pronunciation
andovolgi	to gut	verb		to get the intestines out
andovolgan	gutting	noun		noun
andovolgiat	gutter			person who guts
tauni	to strangle	verb	derivation / compound	tau + -ni, "quiet-ing"; cf. W. tagu, Ir. tacht, id. < *tak- "quiet"
tauniat	strangler			
taunan	strangling	noun		noun
bitauni	to choke	verb	derivation / compound	bi + tauni, "cut-strangle"
bitauniat	choker			
bitaunan	choke	noun		noun
dutauni	asphyxiate		derivation / compound	du- + tauni, "bad-strangle"
dutaunan	asphyxiation			
dutauniat	asphyxiator			
gustauni	to throttle	verb	derivation / compound	gus + tauni, "force-strangle"
gustauniat	throttle			
gustaunan	throttling	noun		noun
etrunal	armpit		derivation / compound	etru + -n- + -al, “wing-little; cf. W. cesail, Ir. ascaill < L. ascella “little wing”; with epenthetic /n/
odac	smelly			
dimon	quote		derivation / compound	di- + mon, "not-mine"; cf. W. dyfynnu, < *dy- myn, id.
dimoni	to quote	verb		
dimoniat	quoter			
dimonan	quotation			
roderci	to stare	verb	derivation / compound	ro + derci, "too-look"; cf. W. llygadrythu, id.
roderciat	starer			
rodercan	stare.	noun		noun
opuscuvul	glance		derivation / compound	op + u + scuvul, “hawk-eye”, epenthetic /u/ for pronunciation
opuscuvuli	to glance	verb		
opuscuvuliat	glancer			
can opuscuvul	at a glance			“with a hawk-eye”
cluti	to rhyme	verb	derivation / compound	clut + -i, “ear-ing”; cf. Br. klotañ, klotenniñ, id.
clutan	rhyme			
clutiat	rhymer			
trunus	snub		derivation / compound	trun + us, “nose-high”
trunusa	to snub	verb		to look down on people
trunusaiat	snubber			
sete riu can i	feel free			"be free with it"
petis menwar	to save a file	verb		
leon	lion			loanword; cf. W. llew, Br. leon, Ir. leon < L. leo < Gr. léon
lucumar	lion		derivation / compound	lucu + mar, "lynx-big"
milucu	panther		derivation / compound	mil + lucu, “animal-lynx”; generic name for the large felines
natar cucul	cobra			"snake-hood", cf. Port. cobra de capello, "hooded snake"
sita	cheetah			< Hindi cítá
tigr	tiger			< Avestan tigri
oric	antelope			< Gr. oryx, id.; /x/ > /c/ cf. samoc, esoc
oricu	gazelle			< Gr. oryx
osulondu	buffalo			osu “londu, "ox-wild"
osudwodac	bison		derivation / compound	osu + dwodan, "ox-stinky"
tatu	tattoo			from a Polynesian word
gwogwep	subtitle		derivation / compound	gwo + gwep, “under-word”
sospa	to gossip	verb	derivation / compound	so + spa, “their-say”; cf. W. chweddleua, “their story”
sospatol	gossip			
sospaiat	gossiper			
cunispa	to spread runours	verb	derivation / compound	cunis + spa, “bitch-say”, -ss- > -s-; cf. W. clapgi, clapgast, “gossip-dog, gossip-bitch”
cunispatol	rumour-spreading			
cunispaiat	rumour-spreader			
corevriti	to mention	verb	derivation / compound	co + re + brithi, “with-very-mind”; cf. W. crybwyll, *cy-rhy-pwyll, id.
corevritan	mention			
corevritiat	mentioner			
andegar	to remark	verb	derivation / compound	ande + gar, “very-call”; cf. Ir. tagair, *to-ad-gar, “to/for-very-call”
andegaru	remark			
andegariat	remarker			
Galatia Belgac	Belgium			Belgian Gaul, Gallia Belgica
Belgia	Belgium			
dicanlegat	solution		derivation / compound	di + canlegat, “un-confusion”
dicanlega	to solve	verb	derivation / compound	di + canlega, “un-confuse”
dicanlegaiat	solver			
dicanlegac	soluble			dicanlega + -ac, “solve-like”
doldan	diploma		derivation / compound	dol + dan, “paper-magistrate”
doldangwidait	diplomacy			
doldangwidac	diplomatic			
doldangwid	diplomat		derivation / compound	doldan + gwid, “diploma-ologist”
dolgnion	certificate		derivation / compound	dol + gnion, “paper-knowledge”
dolgni	to certify	verb		
dolgniat	certifier			
dolgnitu	certified			
desu	ceremony	noun	derivation / compound	des + -u, “preparing-noun”, cf. L. caeremonia, id.
desunac	ceremonial			
operu	eagle-eye			< op-etrios, “eye-[of]-eagle”, Delamarre 2023; cf. eru “eagle”, DLG 2003, p. 166
elicoiter	helicopter			loanword; /pt/ > /xt/ > /it/
endici	to emphasise	verb	derivation / compound	en + dici, “in-show”; cf. Gr. em-phainein, id.
endican	emphasis			
endiciat	emphasiser			
endicid	emphatic			adjectival suffix –d instead of –ac to avoid *-cac-
gwidwaloi	alphabet		derivation / compound	gwidwal + loi, “letter-collective”; cf. Br. lizherenneg < lizheren + eg, id.
gwidwaloic	alphabetic			
gwidwaloini	to alphabetise	verb		
gwidwaloinan	alphabetisation			
gwidwaloiat	alphabetiser			
totberiat	bus		derivation / compound	tot + beriat, “people-carrier”; cf. Gr. λεωφορείο (leoforío), id.
pari	to test	verb		< par “pot”; cf. L. testa, testum, “pot”
paran	test			
pariat	tester			
digos	host		derivation / compound	di + gos, “not-guest”, i.e. host
digosa	to host	verb		
digosan	hosting	noun		noun
algwerti	to differ	verb	derivation / compound	al + gwerti, “other-turn”; cf. L. alternus, “every other”; W. eiledu, “othering, seconding, nexting”
algwertac	different			
algwertiat	differer			
algwertaci	to differentiate	verb		
algwertaciat	differentiator			
algwertacan	differentiation			
canu tot	folk song			“song-people”
bagaud	outlaw			“combattant”, historical outlaw rebel
auson	sleepless		derivation / compound	au + son, “away-from-sleep”
ausonas	sleeplessness			
swauson	vigilant		derivation / compound	su + auson, “good-sleepless”
swausonas	vigilance			
dwauson	insomniac		derivation / compound	du + lansón, “bad-awake”
dwausonas	insomnia			
condatu	unit			“putting together”
condan mediac raiedan	central processing unit			
CMR	CPU			condan mediac raiedan = central processing unit
rim danid	binary digit			
rid	bit			rim danid > r-i-d; “binary digit” > b-i-t
danid	binary			“two-like”
danidas	binariness			
bion	byte			unit of 8 rid/bits; < bion “cut”, spelled differently in analogy with byte < bite
bionwilan	kilobyte		derivation / compound	bion + milan, “byte-thousand”
bionwoi	megabyte		derivation / compound	bion + moi, “byte-great”
bioncawar	gigabyte		derivation / compound	bion + cawar, “byte-giant”
endau	ink		derivation / compound	en + dau, “in-flame”; cf. Gr. en-kaustos < Gr. en-kaiein, “in-burn”; Gal dau- “flame”
endauni	to ink	verb		
endauniat	inker			
aritis cravan	desk			“table writing”
cisargan	wallet		derivation / compound	cis + argan, “case-money”
carnit	building			“[something that has been] built”
liautudon	anthropomorph		derivation / compound	liaut + u + don, “shape-human”, epenthetic /u/ for pronunciation > -td- > -tud-; < Gr. ἄνθρωπος-μορφή, id. 
liautudonac	anthropomorphic			
liautudonait	anthropomorphism			
cansedol	law court		derivation / compound	can + sedol, “with-seat”; cf. Gr. Συνέδριο, id.
cangweitol	conclave		derivation / compound	can + gweitol, “with-wish”; cf Gr. συμβούλιο, id.
cangwelu	counsel		derivation / compound	can + gwelu, “with-will”, < Gr. συμβουλή, id.
cangwel	to counsel	verb	derivation / compound	can + gwel, “with-want”
cangweliat	counselor			
cangartan	congress		derivation / compound	 can + gart- + -an, “with-called-thing”; < Gr. σύγκλητος, id.
cangartanac	congressional			
penwaru	skull			“head-dead”
cname trewerac	crossbones		derivation / compound	trewer + -ac, “crossing-like”
trewerac	cross-like			“crossing-like”
treweru	cross			
diteini	to move house	verb		
diteiniat	removalist			
diteinan	house move			
conartu	bark		derivation / compound	of a dog or other animal; con + artu "like-bear"; cf. W. cynarth- , id.
conartwi	to bark	verb		
conartwiat	barker			
garil	trumpet		derivation / compound	< garilla, gar + illa, "small caller", Delamarre 2023
cogwolis	concubine			< couolix, < *co-uo-lig/leg-, “with-under-lie”, Delamarre 2022, Etudes Celtiques no. 48, pp 28-32
cogwoliga	to cohabit	verb	derivation / compound	< couolig, < *co + uo + lig, “with-under-lie”
cogwoligaiat	cohabiter			
cogwoligat	cohabitation			
cogwolisait	concubinage			
gwoi	to slay	verb		< uo- "to hit, to kill", Uir-uos "man slayer", Delamarre 2022, Etudes Celtiques no. 48, pp 28-32
gwoiat	slayer			
gwoitol	slaying			
algwoi	to be xenophobic	verb	derivation / compound	al + gwoi "other-slay", < aliiouos, Delamarre 2022, Etudes Celtiques no. 48, pp 28-32
algwoiat	xenophobe			
algwoiac	xenophobic			
algwoiait	xenophobia			
dinu	safeguard			< dino-, dinia, Delamarre 2022, Etudes Celtiques no. 48, pp 28-32
dinwi	to safeguard	verb		
dinwian	safeguarding			
dinwiat	safeguarder			
esdinu	exposure		derivation / compound	es + dinu, "without-safeguard", Delamarre 2022, Etudes Celtiques no. 48, pp 28-32
esdinwi	to expose	verb		
esdinwiat	exposer			
esdinwian	act of exposing			
sudinwi	to reserve	verb	derivation / compound	su + dinwi, "good-safeguard"
sudinwiat	reserver			
sudinwian	reservation			
sudinwitu	reserved			
andedinwi	to conserve	verb	derivation / compound	ande + dinwi, "very-safeguard"
andedinwiat	conserver			
andedinwian	conservation			
andedinwiac	conservative	adjective		adjective
andedinwaun	conservative	noun		noun
andedinwait	conservatism			
esawel	lee		derivation / compound	es + awel. “without-wind”
triami	to rotate	verb		< olcatriama "fallow-three-yearly-rotation", Delamarre 2022, Etudes Celtiques no. 48, pp 28-32
triamiat	rotator			
triaman	rotation			
sitac	parrot			< L. psittacus, Gr. psittakos
sitaci	to parrot	verb		
sitaciat	parroter			
sitacan	act of parroting			
doverwan	doberman			type of dog
cerdanwaran	blowjob		derivation / compound	cerd + anwaran, "work-blow"
penrodi	to give head	verb		
penrodiat	someone who gives head			
penrodan	blowjob			act of giving head
lergaltir	landmark			
dilugenwar	deceitful			
dilugenwaras	deceitfulness			
dwadgar	to challenge	verb	derivation / compound	du + adgar, "bad-accuse"
dwadgaru	challenge			
dwadgariat	challenger			
gweropi	to glare	verb	derivation / compound	gwer + op, “on/over-eye”
gweropan	glare			dirty look
gweropíath	glarer			
certac	proper			
certacas	propriety			
cananda	to condescend	verb	derivation / compound	can + anda, "with-lowering"; cf. W. ymostwng, L. condescendere
canandan	condescension			
canandaiat	condescender			
dunitem	fake	noun	derivation / compound	noun; du + nitem, "bad-claim"; cf. W. honniad "pretension" < honni "claim"
dunitemi	to fake	verb		
dunitemac	fake	adjective		adjective
dunitemiat	faker			
dagwepac	pretentious		derivation / compound	da + gwep + -ac, “two-word-like”
dagwepacas	pretentiousness			
gavite	available		derivation / compound	gavi + -te, "take-able"
gaviteas	availability			
avo gavite	make available			
sulerg	note		derivation / compound	su + lerg, "good-track"
sulerge	to note	verb		
sulerget	noter			
sulergen	noting			
derwi	to verify	verb	derivation / compound	deru + -i, "oaking", < deru "oak"; cf. Ir. dearbhaigh "to verify", < Ir. dearbh "true, certain" < *deruo- "oak, tree, firm"
derwiat	verifier			
derwian	verification			
derwite	verifiable			
amdarn	diverse		derivation / compound	am + darn, “about-some/several”; cf. W. amryw, id.
amdarnas	diversity			
averada	to admit	verb	derivation / compound	a + berada, “towards-send”; cf. L. admittere, id.
averadan	admission			
averadiat	admitter			
esi i troicarat	it’s a pity			
esi i duvarnu	it’s a pity			duvarnu “damage” < Fr. “c’est dommage”
digwerberu	devolution		derivation / compound	di + gwerberu, “de-evolution”
gnimenbeti	to recognise	verb	derivation / compound	gni + menbeti, “remember-know”
gnimenbetiat	recogniser			
gnimenbetan	recognition			
gnimenbete	recognisable			
gnimenbeteas	recognisability			
angnimenbete	unrecognisable			
angnimenbeteas	unrecognisability			
cluite	audible			
cluiteas	audibility			
ancluite	inaudible			
ancluiteas	inaudibility			
spariu	novel		derivation / compound	work of fiction; spa + riu, “say-free”
spariunaun	novelist			
SORRA	Se O Re Rincor Adavo			“that which needed demonstrating”; cf. QED, Quot Erat Demonstrandum
gwerusel	outstanding		derivation / compound	gwer + usel, “over/on-above”; cf. W. aruchel, id.
gweruselas	outstandingness			
gweraun	at once		derivation / compound	gwer + aun, “on-one time/occasion”; cf. W. ar unwaith, id.
andegwin	splendid		derivation / compound	andeé + gwin, “very white”; cf. W. arwyn, id.
andegwinas	splendidness			
andegwinu	splendour			
gwercrit	awe		derivation / compound	gwer + crit, “excessive-terror”; cf. W. aruthrol < aruthr- < ar-uthr, “excessive-terror”
gwercritwar	awful			
gwercritwaras	awfulness			
gwercawar	tremendous		derivation / compound	gwer + cawar, “over/on-giant”
gwercawaras	tremendousness			
gwerwoi	awesome		derivation / compound	gwer + moi, “over/on-great”
gwerwoias	awesomeness			
gwerwes	reverence		derivation / compound	gwer + mes, “excessive-judgement”; cf. Ir. ardmheas, “high judgment”
gwerwesa	to rever	verb		
gwerwesaiat	reverer			
ardumes	veneration		derivation / compound	ardu + mes, “high-judgement; cf. Ir. ardmheas. id.
